You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : SHAD, AMERICAN,,,,
1962,New York,"SHAD, AMERICAN",110,242500,33052
1962,North Carolina,"SHAD, AMERICAN",347,765000,191250
1962,Oregon,"SHAD, AMERICAN",562,1239000,172764
1962,Rhode Island,"SHAD, AMERICAN",3.2,7100,583
1962,South Carolina,"SHAD, AMERICAN",52.1,114900,32172
1962,Virginia,"SHAD, AMERICAN",1007.1,2220200,311567
1962,Washington,"SHAD, AMERICAN",157.3,346700,39450
1963,Connecticut,"SHAD, AMERICAN",136.4,300800,63107
1963,Delaware,"SHAD, AMERICAN",45.4,100100,13400
1963,Florida East Coast,"SHAD, AMERICAN",267.6,589900,63119
1963,Georgia,"SHAD, AMERICAN",150.3,331300,87478
1963,Maryland,"SHAD, AMERICAN",374.9,826600,132243
1963,Massachusetts,"SHAD, AMERICAN",9.8,21500,1234
1963,New Jersey,"SHAD, AMERICAN",200.5,442000,89904
1963,New York,"SHAD, AMERICAN",91.6,201900,39301
1963,North Carolina,"SHAD, AMERICAN",314.5,693400,167693
1963,Oregon,"SHAD, AMERICAN",594.3,1310200,94889
1963,Rhode Island,"SHAD, AMERICAN",1,2200,126
1963,South Carolina,"SHAD, AMERICAN",54.5,120200,33090
1963,Virginia,"SHAD, AMERICAN",1048.5,2311500,347256
1963,Washington,"SHAD, AMERICAN",87.4,192700,8658
1964,Connecticut,"SHAD, AMERICAN",126,277700,58397
1964,Delaware,"SHAD, AMERICAN",68.2,150300,18718
1964,Florida East Coast,"SHAD, AMERICAN",203,447600,44065
1964,Georgia,"SHAD, AMERICAN",142.4,314000,99768
1964,Maryland,"SHAD, AMERICAN",403.7,890100,115786
1964,Massachusetts,"SHAD, AMERICAN",17.8,39300,2827
1964,New Jersey,"SHAD, AMERICAN",195,430000,54228
1964,New York,"SHAD, AMERICAN",63.9,140900,23412
1964,North Carolina,"SHAD, AMERICAN",290.3,639900,127472
1964,Oregon,"SHAD, AMERICAN",355.6,784000,59073
1964,Rhode Island,"SHAD, AMERICAN",1.2,2700,125
1964,South Carolina,"SHAD, AMERICAN",54.5,120100,27493
1964,Virginia,"SHAD, AMERICAN",1202.7,2651400,326231
1964,Washington,"SHAD, AMERICAN",15.5,34100,1659
1965,Connecticut,"SHAD, AMERICAN",159.8,352200,74193
1965,Delaware,"SHAD, AMERICAN",49.9,109900,16042
1965,Florida East Coast,"SHAD, AMERICAN",343.7,757700,82061
1965,Georgia,"SHAD, AMERICAN",170.7,376300,126317
1965,Maryland,"SHAD, AMERICAN",609.4,1343400,149804
1965,Massachusetts,"SHAD, AMERICAN",11,24200,1672
1965,New Jersey,"SHAD, AMERICAN",178,392500,40473
1965,New York,"SHAD, AMERICAN",60.5,133400,21908
1965,North Carolina,"SHAD, AMERICAN",484.8,1068800,214065
1965,Oregon,"SHAD, AMERICAN",356.7,786400,50927
1965,Rhode Island,"SHAD, AMERICAN",2,4500,345
1965,South Carolina,"SHAD, AMERICAN",79.8,175900,61469
1965,Virginia,"SHAD, AMERICAN",1340.4,2955000,306817
1965,Washington,"SHAD, AMERICAN",38.1,83900,3824
1966,Connecticut,"SHAD, AMERICAN",109.7,241900,50759
1966,Delaware,"SHAD, AMERICAN",25.2,55500,9214
1966,Florida East Coast,"SHAD, AMERICAN",240.2,529500,67296
1966,Georgia,"SHAD, AMERICAN",175,385900,99797
1966,Maine,"SHAD, AMERICAN",1,2100,74
1966,Maryland,"SHAD, AMERICAN",514.2,1133600,132028
1966,Massachusetts,"SHAD, AMERICAN",5.3,11600,710
1966,New Jersey,"SHAD, AMERICAN",109.9,242300,22414
1966,New York,"SHAD, AMERICAN",36.6,80600,10653
1966,North Carolina,"SHAD, AMERICAN",318.1,701300,169810
1966,Oregon,"SHAD, AMERICAN",450.6,993500,86546
1966,Rhode Island,"SHAD, AMERICAN",10.4,22900,1700
1966,South Carolina,"SHAD, AMERICAN",54.1,119200,34454
1966,Virginia,"SHAD, AMERICAN",1102.7,2431100,218997
1966,Washington,"SHAD, AMERICAN",160.3,353400,16531
1967,Connecticut,"SHAD, AMERICAN",108.9,240000,46425
1967,Delaware,"SHAD, AMERICAN",11.6,25500,5273
1967,Florida East Coast,"SHAD, AMERICAN",144.6,318700,52081
1967,Georgia,"SHAD, AMERICAN",151.5,334100,55442
1967,Maine,"SHAD, AMERICAN",0,100,9
1967,Maryland,"SHAD, AMERICAN",393.3,867000,129925
1967,Massachusetts,"SHAD, AMERICAN",230.7,508600,6067
1967,New Jersey,"SHAD, AMERICAN",112.4,247700,31449
1967,New York,"SHAD, AMERICAN",51.4,113400,17884
1967,North Carolina,"SHAD, AMERICAN",352.5,777200,154702
1967,Oregon,"SHAD, AMERICAN",488.3,1076400,84180
1967,Rhode Island,"SHAD, AMERICAN",2.1,4700,342
1967,South Carolina,"SHAD, AMERICAN",59.6,131500,21025
1967,Virginia,"SHAD, AMERICAN",969.7,2137800,180515
1967,Washington,"SHAD, AMERICAN",116.4,256700,15924
1968,California,"SHAD, AMERICAN",28.5,62800,7652
1968,Connecticut,"SHAD, AMERICAN",96.3,212400,62409
1968,Delaware,"SHAD, AMERICAN",5.6,12300,2082
1968,Florida East Coast,"SHAD, AMERICAN",241,531200,95747
1968,Georgia,"SHAD, AMERICAN",258,568800,138673
1968,Maine,"SHAD, AMERICAN",1,2300,44
1968,Maryland,"SHAD, AMERICAN",434.6,958100,105447
1968,Massachusetts,"SHAD, AMERICAN",1,2200,197
1968,New Jersey,"SHAD, AMERICAN",109.1,240600,34629
1968,New York,"SHAD, AMERICAN",57,125700,21958
1968,North Carolina,"SHAD, AMERICAN",382.2,842700,127547
1968,Oregon,"SHAD, AMERICAN",370.3,816300,92959
1968,Rhode Island,"SHAD, AMERICAN",0.9,2000,101
1968,South Carolina,"SHAD, AMERICAN",50,110200,20829
1968,Virginia,"SHAD, AMERICAN",1156.4,2549500,161373
1968,Washington,"SHAD, AMERICAN",20.7,45700,3114
1969,Connecticut,"SHAD, AMERICAN",86.1,189900,59414
1969,Delaware,"SHAD, AMERICAN",8.3,18400,1976
1969,Florida East Coast,"SHAD, AMERICAN",176.7,389600,61174
1969,Georgia,"SHAD, AMERICAN",280.2,617700,182278
1969,Louisiana,"SHAD, AMERICAN",0.3,600,21
1969,Maryland,"SHAD, AMERICAN",586.1,1292200,124612
1969,Massachusetts,"SHAD, AMERICAN",2.3,5100,383
1969,New Jersey,"SHAD, AMERICAN",85,187500,21802
1969,New York,"SHAD, AMERICAN",61.9,136400,19682
1969,North Carolina,"SHAD, AMERICAN",326,718600,136686
1969,Oregon,"SHAD, AMERICAN",251,553300,69830
1969,Rhode Island,"SHAD, AMERICAN",2.6,5700,324
1969,South Carolina,"SHAD, AMERICAN",80.1,176600,58909
1969,Virginia,"SHAD, AMERICAN",1019.7,2248100,165895
1969,Washington,"SHAD, AMERICAN",25.8,56900,3266
1970,Connecticut,"SHAD, AMERICAN",78.5,173100,55371
1970,Delaware,"SHAD, AMERICAN",6.1,13400,1407
1970,Florida East Coast,"SHAD, AMERICAN",99,218300,42529
1970,Georgia,"SHAD, AMERICAN",241.1,531500,140168
1970,Louisiana,"SHAD, AMERICAN",0.7,1500,41
1970,Maryland,"SHAD, AMERICAN",471.1,1038600,107261
1970,Massachusetts,"SHAD, AMERICAN",0.6,1400,130
1970,New Jersey,"SHAD, AMERICAN",88.6,195400,26854
1970,New York,"SHAD, AMERICAN",47.9,105700,13008
1970,North Carolina,"SHAD, AMERICAN",432.4,953200,192796
1970,Oregon,"SHAD, AMERICAN",316.7,698200,84732
1970,Rhode Island,"SHAD, AMERICAN",5.4,11800,411
1970,South Carolina,"SHAD, AMERICAN",67.1,147900,38994
1970,Virginia,"SHAD, AMERICAN",1865.1,4111800,315042
1970,Washington,"SHAD, AMERICAN",11.8,26000,2116
1971,Connecticut,"SHAD, AMERICAN",109.2,240700,67416
1971,Delaware,"SHAD, AMERICAN",3.4,7600,5015
1971,Florida East Coast,"SHAD, AMERICAN",114.5,252500,49735
1971,Georgia,"SHAD, AMERICAN",190.5,420000,133185
1971,Maryland,"SHAD, AMERICAN",432.1,952500,123746
1971,Massachusetts,"SHAD, AMERICAN",0.2,400,48
1971,New Jersey,"SHAD, AMERICAN",63.9,140800,21732
1971,New York,"SHAD, AMERICAN",33.2,73100,15726
1971,North Carolina,"SHAD, AMERICAN",308.5,680200,116770
1971,Oregon,"SHAD, AMERICAN",214.9,473800,59308
1971,Rhode Island,"SHAD, AMERICAN",19.1,42200,1195
1971,South Carolina,"SHAD, AMERICAN",45,99300,39934
1971,Virginia,"SHAD, AMERICAN",689.6,1520300,135450
1971,Washington,"SHAD, AMERICAN",11.6,25500,3688
1972,Connecticut,"SHAD, AMERICAN",113,249200,74867
1972,Delaware,"SHAD, AMERICAN",4.2,9200,1052
1972,Florida East Coast,"SHAD, AMERICAN",54.4,120000,26875
1972,Georgia,"SHAD, AMERICAN",156,343900,111468
1972,Maryland,"SHAD, AMERICAN",434.3,957400,118213
1972,Massachusetts,"SHAD, AMERICAN",0.2,500,74
1972,New Jersey,"SHAD, AMERICAN",119.3,263100,33830
1972,New York,"SHAD, AMERICAN",46.6,102700,18434
1972,North Carolina,"SHAD, AMERICAN",212.5,468400,111609
1972,Oregon,"SHAD, AMERICAN",290.7,640900,87734
1972,Rhode Island,"SHAD, AMERICAN",6.3,13800,598
1972,South Carolina,"SHAD, AMERICAN",72.1,159000,44992
1972,Virginia,"SHAD, AMERICAN",933,2057000,224573
1972,Washington,"SHAD, AMERICAN",30.9,68100,8988
1973,Connecticut,"SHAD, AMERICAN",116.8,257600,73417
1973,Delaware,"SHAD, AMERICAN",3.4,7600,1338
1973,Florida East Coast,"SHAD, AMERICAN",44.9,99000,27553
1973,Georgia,"SHAD, AMERICAN",108.6,239400,90838
1973,Maryland,"SHAD, AMERICAN",270.8,596900,105481
1973,Massachusetts,"SHAD, AMERICAN",0.5,1200,146
1973,New Jersey,"SHAD, AMERICAN",64.8,142800,27367
1973,New York,"SHAD, AMERICAN",71.1,156800,50937
1973,North Carolina,"SHAD, AMERICAN",145.6,320900,85491
1973,Oregon,"SHAD, AMERICAN",204.4,450600,97585
1973,Rhode Island,"SHAD, AMERICAN",1.1,2500,135
1973,South Carolina,"SHAD, AMERICAN",11.9,26200,11807
1973,Virginia,"SHAD, AMERICAN",1104.8,2435600,366180
1973,Washington,"SHAD, AMERICAN",14.5,31900,3987
1974,Connecticut,"SHAD, AMERICAN",112.1,247200,77439
1974,Delaware,"SHAD, AMERICAN",3.8,8300,1303
1974,Florida East Coast,"SHAD, AMERICAN",45.4,100000,23514
1974,Florida West Coast,"SHAD, AMERICAN",5.6,12400,369
1974,Georgia,"SHAD, AMERICAN",73.3,161700,62820
1974,Louisiana,"SHAD, AMERICAN",3,6700,268
1974,Maine,"SHAD, AMERICAN",0.2,500,69
1974,Maryland,"SHAD, AMERICAN",99.7,219800,45414
1974,Massachusetts,"SHAD, AMERICAN",1.5,3300,337
1974,New Jersey,"SHAD, AMERICAN",55.1,121500,26144
1974,New York,"SHAD, AMERICAN",74.4,164000,44279
1974,North Carolina,"SHAD, AMERICAN",167.3,368800,105668
1974,Oregon,"SHAD, AMERICAN",126,277800,60042
1974,Rhode Island,"SHAD, AMERICAN",3.1,6900,578
1974,South Carolina,"SHAD, AMERICAN",11,24300,12050
1974,Virginia,"SHAD, AMERICAN",711.5,1568600,230110
1974,Washington,"SHAD, AMERICAN",105.6,232900,20122
1975,California,"SHAD, AMERICAN",1.6,3600,223
1975,Connecticut,"SHAD, AMERICAN",75.1,165500,57919
1975,Delaware,"SHAD, AMERICAN",8.5,18700,3831
1975,Florida East Coast,"SHAD, AMERICAN",14.8,32700,9043
1975,Florida West Coast,"SHAD, AMERICAN",2.5,5600,305
1975,Georgia,"SHAD, AMERICAN",82.6,182000,99273
1975,Louisiana,"SHAD, AMERICAN",11.3,25000,750
1975,Maine,"SHAD, AMERICAN",15.7,34600,3508
1975,Maryland,"SHAD, AMERICAN",83.3,183600,44551
1975,Massachusetts,"SHAD, AMERICAN",0.7,1500,147
1975,New Hampshire,"SHAD, AMERICAN",0.2,500,50
1975,New Jersey,"SHAD, AMERICAN",55.4,122100,28633
1975,New York,"SHAD, AMERICAN",89.1,196500,78499
1975,North Carolina,"SHAD, AMERICAN",109.4,241100,82815
1975,Oregon,"SHAD, AMERICAN",207.2,456800,73543
1975,Rhode Island,"SHAD, AMERICAN",2.5,5600,627
1975,South Carolina,"SHAD, AMERICAN",28.3,62400,36716
1975,Virginia,"SHAD, AMERICAN",515.8,1137200,308386
1975,Washington,"SHAD, AMERICAN",27.6,60800,3774
1976,Connecticut,"SHAD, AMERICAN",177.8,392000,164608
1976,Delaware,"SHAD, AMERICAN",16.1,35600,8077
1976,Florida East Coast,"SHAD, AMERICAN",12.5,27600,8292
1976,Florida West Coast,"SHAD, AMERICAN",0.3,600,27
1976,Georgia,"SHAD, AMERICAN",42,92700,57285
1976,Louisiana,"SHAD, AMERICAN",22.7,50000,2500
1976,Maine,"SHAD, AMERICAN",6.7,14700,1359
1976,Maryland,"SHAD, AMERICAN",49.7,109500,41086
1976,Massachusetts,"SHAD, AMERICAN",0,0,5
1976,New Hampshire,"SHAD, AMERICAN",0.8,1800,162
1976,New Jersey,"SHAD, AMERICAN",45.1,99500,23276
1976,New York,"SHAD, AMERICAN",84.3,185800,59293
1976,North Carolina,"SHAD, AMERICAN",75.8,167100,65227
1976,Oregon,"SHAD, AMERICAN",187.2,412600,83395
1976,Rhode Island,"SHAD, AMERICAN",1.2,2700,630
1976,South Carolina,"SHAD, AMERICAN",14.7,32400,19832
1976,Virginia,"SHAD, AMERICAN",406.2,895600,284012
1976,Washington,"SHAD, AMERICAN",30.9,68100,9331
1977,Connecticut,"SHAD, AMERICAN",150.8,332400,149580
1977,Delaware,"SHAD, AMERICAN",33.8,74500,15332
1977,Florida East Coast,"SHAD, AMERICAN",43.9,96800,54206
1977,Georgia,"SHAD, AMERICAN",53.5,117900,84412
1977,Louisiana,"SHAD, AMERICAN",21.3,47000,2710
1977,Maine,"SHAD, AMERICAN",10,22100,2047
1977,Maryland,"SHAD, AMERICAN",35.2,77600,26886
1977,Massachusetts,"SHAD, AMERICAN",0.1,200,24
1977,New Hampshire,"SHAD, AMERICAN",1.9,4200,382
1977,New Jersey,"SHAD, AMERICAN",89.8,198000,53458
1977,New York,"SHAD, AMERICAN",55.2,121600,41259
1977,North Carolina,"SHAD, AMERICAN",54.9,121100,54760
1977,Oregon,"SHAD, AMERICAN",167.7,369800,34538
1977,Rhode Island,"SHAD, AMERICAN",0.4,800,185
1977,South Carolina,"SHAD, AMERICAN",36.1,79600,53592
1977,Virginia,"SHAD, AMERICAN",666.2,1468800,498089
1977,Washington,"SHAD, AMERICAN",4.9,10900,1641
1978,California,"SHAD, AMERICAN",2.4,5300,4158
1978,Connecticut,"SHAD, AMERICAN",138.9,306300,211390
1978,Delaware,"SHAD, AMERICAN",31.7,69900,19790
1978,Florida East Coast,"SHAD, AMERICAN",59.4,131042,66737
1978,Georgia,"SHAD, AMERICAN",107.9,237950,154805
1978,Louisiana,"SHAD, AMERICAN",325.5,717681,44072
1978,Maine,"SHAD, AMERICAN",11.1,24500,1916
1978,Maryland,"SHAD, AMERICAN",42,92600,25532
1978,Massachusetts,"SHAD, AMERICAN",0.4,800,78
