You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : CLAM, SOFTSHELL,,,,
1969,Maryland,"CLAM, SOFTSHELL",3587.7,7909500,2800344
1969,Massachusetts,"CLAM, SOFTSHELL",534,1177300,877936
1969,New Jersey,"CLAM, SOFTSHELL",32.4,71500,35600
1969,New York,"CLAM, SOFTSHELL",77,169700,76176
1969,Rhode Island,"CLAM, SOFTSHELL",8.3,18400,11640
1970,Maine,"CLAM, SOFTSHELL",2385.3,5258600,2497362
1970,Maryland,"CLAM, SOFTSHELL",2822,6221300,2433724
1970,Massachusetts,"CLAM, SOFTSHELL",539.2,1188800,917951
1970,New Jersey,"CLAM, SOFTSHELL",31.8,70200,35500
1970,New York,"CLAM, SOFTSHELL",33.3,73500,27974
1970,Rhode Island,"CLAM, SOFTSHELL",39.4,86800,56440
1971,Connecticut,"CLAM, SOFTSHELL",0.1,200,170
1971,Maine,"CLAM, SOFTSHELL",2381.4,5250000,2694244
1971,Maryland,"CLAM, SOFTSHELL",2715.4,5986300,2993064
1971,Massachusetts,"CLAM, SOFTSHELL",528.6,1165300,992684
1971,New Jersey,"CLAM, SOFTSHELL",22,48400,27722
1971,New York,"CLAM, SOFTSHELL",69.7,153700,55725
1971,Rhode Island,"CLAM, SOFTSHELL",22.5,49600,33819
1972,Connecticut,"CLAM, SOFTSHELL",0.1,200,180
1972,Maine,"CLAM, SOFTSHELL",2785.9,6141800,3708573
1972,Maryland,"CLAM, SOFTSHELL",884.3,1949500,1014782
1972,Massachusetts,"CLAM, SOFTSHELL",362.3,798700,674697
1972,New Jersey,"CLAM, SOFTSHELL",28.1,61900,49965
1972,New York,"CLAM, SOFTSHELL",42,92500,80135
1972,Oregon,"CLAM, SOFTSHELL",2,4500,2694
1972,Rhode Island,"CLAM, SOFTSHELL",15.6,34300,34483
1972,Washington,"CLAM, SOFTSHELL",4.3,9400,9365
1973,Maine,"CLAM, SOFTSHELL",3293.3,7260400,5701697
1973,Maryland,"CLAM, SOFTSHELL",303.2,668400,557200
1973,Massachusetts,"CLAM, SOFTSHELL",240.2,529600,478503
1973,New Jersey,"CLAM, SOFTSHELL",7.8,17200,18914
1973,New York,"CLAM, SOFTSHELL",46.9,103500,115304
1973,Oregon,"CLAM, SOFTSHELL",0.1,300,340
1973,Rhode Island,"CLAM, SOFTSHELL",9.9,21900,21745
1973,Washington,"CLAM, SOFTSHELL",11.8,26000,10763
1974,Connecticut,"CLAM, SOFTSHELL",0.1,300,300
1974,Maine,"CLAM, SOFTSHELL",2679,5906200,4513127
1974,Maryland,"CLAM, SOFTSHELL",952,2098800,1779004
1974,Massachusetts,"CLAM, SOFTSHELL",598.7,1319900,1535068
1974,New Jersey,"CLAM, SOFTSHELL",39.6,87200,72700
1974,New York,"CLAM, SOFTSHELL",46.3,102000,113301
1974,Oregon,"CLAM, SOFTSHELL",0.1,200,239
1974,Rhode Island,"CLAM, SOFTSHELL",30.5,67200,68451
1974,Washington,"CLAM, SOFTSHELL",4.2,9200,9214
1975,Maine,"CLAM, SOFTSHELL",2969.7,6547100,5692252
1975,Maryland,"CLAM, SOFTSHELL",565.3,1246200,1174340
1975,Massachusetts,"CLAM, SOFTSHELL",509.4,1123000,1560003
1975,New Jersey,"CLAM, SOFTSHELL",76.6,168800,140660
1975,New York,"CLAM, SOFTSHELL",28.4,62600,76307
1975,Oregon,"CLAM, SOFTSHELL",0,100,103
1975,Rhode Island,"CLAM, SOFTSHELL",8.3,18300,22027
1975,Washington,"CLAM, SOFTSHELL",3.7,8200,3971
1976,Maine,"CLAM, SOFTSHELL",3342.2,7368200,7489339
1976,Maryland,"CLAM, SOFTSHELL",794.2,1750800,2749456
1976,Massachusetts,"CLAM, SOFTSHELL",513.6,1132300,1839855
1976,New Jersey,"CLAM, SOFTSHELL",67.3,148300,173012
1976,New York,"CLAM, SOFTSHELL",21.1,46500,61406
1976,Oregon,"CLAM, SOFTSHELL",0.1,200,458
1976,Rhode Island,"CLAM, SOFTSHELL",1.1,2500,3761
1976,Washington,"CLAM, SOFTSHELL",8.1,17900,14890
1977,Maine,"CLAM, SOFTSHELL",3553.9,7835000,9271544
1977,Maryland,"CLAM, SOFTSHELL",750.3,1654200,2612497
1977,Massachusetts,"CLAM, SOFTSHELL",260.3,573800,996252
1977,New Jersey,"CLAM, SOFTSHELL",39.9,87900,87946
1977,New York,"CLAM, SOFTSHELL",14.1,31100,45684
1977,Oregon,"CLAM, SOFTSHELL",0.2,400,704
1977,Rhode Island,"CLAM, SOFTSHELL",1.7,3800,6385
1977,Washington,"CLAM, SOFTSHELL",40.6,89500,95826
1978,Maine,"CLAM, SOFTSHELL",2724.8,6007200,7469611
1978,Maryland,"CLAM, SOFTSHELL",1565.1,3450500,4675300
1978,Massachusetts,"CLAM, SOFTSHELL",204.5,450900,911463
1978,New Jersey,"CLAM, SOFTSHELL",55.1,121400,146790
1978,New York,"CLAM, SOFTSHELL",12.8,28200,43554
1978,Oregon,"CLAM, SOFTSHELL",0,9,12
1978,Rhode Island,"CLAM, SOFTSHELL",3.7,8200,14793
1978,Washington,"CLAM, SOFTSHELL",7.5,16440,20991
1979,Maine,"CLAM, SOFTSHELL",2355.7,5193400,7507899
1979,Maryland,"CLAM, SOFTSHELL",1307.7,2882900,5294088
1979,Massachusetts,"CLAM, SOFTSHELL",415.9,916900,1887640
1979,New Jersey,"CLAM, SOFTSHELL",86.3,190200,208144
1979,New York,"CLAM, SOFTSHELL",18.4,40600,63910
1979,Oregon,"CLAM, SOFTSHELL",0.1,244,687
1979,Rhode Island,"CLAM, SOFTSHELL",21.7,47800,111229
1979,Washington,"CLAM, SOFTSHELL",1.7,3797,4861
1980,California,"CLAM, SOFTSHELL",0,10,15
1980,Maine,"CLAM, SOFTSHELL",2574.7,5676200,8554110
1980,Maryland,"CLAM, SOFTSHELL",873.5,1925800,4264189
1980,Massachusetts,"CLAM, SOFTSHELL",781.3,1722400,4102481
1980,New Jersey,"CLAM, SOFTSHELL",152.5,336100,374742
1980,New York,"CLAM, SOFTSHELL",35.3,77800,146633
1980,Oregon,"CLAM, SOFTSHELL",0.1,115,311
1980,Rhode Island,"CLAM, SOFTSHELL",22.1,48700,112651
1980,Washington,"CLAM, SOFTSHELL",1,2124,2936
1981,Maine,"CLAM, SOFTSHELL",2354,5189600,8409568
1981,Maryland,"CLAM, SOFTSHELL",714.4,1574900,3203949
1981,Massachusetts,"CLAM, SOFTSHELL",721.9,1591400,4039462
1981,New Jersey,"CLAM, SOFTSHELL",115,253500,300062
1981,New York,"CLAM, SOFTSHELL",24.7,54400,95440
1981,Oregon,"CLAM, SOFTSHELL",0.1,300,27
1981,Rhode Island,"CLAM, SOFTSHELL",9.4,20700,42349
1982,Maine,"CLAM, SOFTSHELL",1930.9,4256800,6394045
1982,Maryland,"CLAM, SOFTSHELL",718,1582900,3332065
1982,Massachusetts,"CLAM, SOFTSHELL",932.3,2055300,5911952
1982,New Jersey,"CLAM, SOFTSHELL",144.7,319000,404451
1982,New York,"CLAM, SOFTSHELL",35,77200,166319
1982,Rhode Island,"CLAM, SOFTSHELL",2.8,6200,13770
1982,Washington,"CLAM, SOFTSHELL",2.4,5377,5370
1983,Maine,"CLAM, SOFTSHELL",1880.6,4146000,7249306
1983,Maryland,"CLAM, SOFTSHELL",889.4,1960800,4285257
1983,Massachusetts,"CLAM, SOFTSHELL",653,1439700,5113994
1983,New Jersey,"CLAM, SOFTSHELL",128.1,282400,330853
1983,New York,"CLAM, SOFTSHELL",36.6,80600,165829
1983,Oregon,"CLAM, SOFTSHELL",0,17,36
1983,Rhode Island,"CLAM, SOFTSHELL",0.7,1500,3890
1983,Washington,"CLAM, SOFTSHELL",2.6,5760,5756
1984,Maine,"CLAM, SOFTSHELL",2402.5,5296600,11806799
1984,Maryland,"CLAM, SOFTSHELL",425.5,938000,2514268
1984,Massachusetts,"CLAM, SOFTSHELL",555.2,1223900,4507670
1984,New Jersey,"CLAM, SOFTSHELL",84.8,186900,266451
1984,New York,"CLAM, SOFTSHELL",56.7,125000,297055
1984,Oregon,"CLAM, SOFTSHELL",0.1,161,185
1984,Rhode Island,"CLAM, SOFTSHELL",4,8800,25978
1984,Washington,"CLAM, SOFTSHELL",16.2,35769,35725
1985,Maine,"CLAM, SOFTSHELL",2156.5,4754200,12132260
1985,Maryland,"CLAM, SOFTSHELL",596.4,1314800,3880809
1985,Massachusetts,"CLAM, SOFTSHELL",364.3,803200,3121177
1985,New Jersey,"CLAM, SOFTSHELL",142.2,313500,448789
1985,New York,"CLAM, SOFTSHELL",65.5,144400,399448
1985,Oregon,"CLAM, SOFTSHELL",0.4,796,782
1985,Rhode Island,"CLAM, SOFTSHELL",3.9,8600,25938
1985,Washington,"CLAM, SOFTSHELL",81,178553,153820
1986,Maine,"CLAM, SOFTSHELL",1712.7,3775800,11046789
1986,Maryland,"CLAM, SOFTSHELL",477.9,1053600,3640157
1986,Massachusetts,"CLAM, SOFTSHELL",569.2,1254900,5039181
1986,New Jersey,"CLAM, SOFTSHELL",71.7,158100,289980
1986,New York,"CLAM, SOFTSHELL",105.2,232000,764665
1986,Oregon,"CLAM, SOFTSHELL",0.7,1567,3556
1986,Rhode Island,"CLAM, SOFTSHELL",6.4,14100,54066
1986,Washington,"CLAM, SOFTSHELL",84.5,186275,140356
1987,Maine,"CLAM, SOFTSHELL",1223.1,2696500,8214291
1987,Maryland,"CLAM, SOFTSHELL",1590.5,3506400,6201748
1987,Massachusetts,"CLAM, SOFTSHELL",437,963400,3980902
1987,New Jersey,"CLAM, SOFTSHELL",22.9,50500,111122
1987,New York,"CLAM, SOFTSHELL",95.2,209900,610636
1987,Oregon,"CLAM, SOFTSHELL",0.5,1112,2275
1987,Rhode Island,"CLAM, SOFTSHELL",5.4,11800,48605
1987,Washington,"CLAM, SOFTSHELL",64,141202,158715
1988,Maine,"CLAM, SOFTSHELL",1048.3,2311100,7423976
1988,Maryland,"CLAM, SOFTSHELL",1979.7,4364400,8740674
1988,Massachusetts,"CLAM, SOFTSHELL",401.2,884569,3403690
1988,New Jersey,"CLAM, SOFTSHELL",10.3,22600,53545
1988,New York,"CLAM, SOFTSHELL",62.9,138700,433345
1988,Oregon,"CLAM, SOFTSHELL",0.3,704,892
1988,Rhode Island,"CLAM, SOFTSHELL",4,8800,32402
1988,Washington,"CLAM, SOFTSHELL",27.9,61501,69111
1989,Maine,"CLAM, SOFTSHELL",1141.6,2516800,8437650
1989,Maryland,"CLAM, SOFTSHELL",1827.6,4029100,10292331
1989,Massachusetts,"CLAM, SOFTSHELL",407.7,898800,4323099
1989,New Jersey,"CLAM, SOFTSHELL",4.4,9800,21978
1989,New York,"CLAM, SOFTSHELL",57.2,126000,377393
1989,Oregon,"CLAM, SOFTSHELL",0.2,500,299
1989,Rhode Island,"CLAM, SOFTSHELL",4.3,9500,42801
1989,Washington,"CLAM, SOFTSHELL",0.7,1496,3064
1990,Maine,"CLAM, SOFTSHELL",1140.3,2513895,8850690
1990,Maryland,"CLAM, SOFTSHELL",966.7,2131128,9032695
1990,Massachusetts,"CLAM, SOFTSHELL",438.9,967629,4538252
1990,New York,"CLAM, SOFTSHELL",84,185168,558073
1990,Oregon,"CLAM, SOFTSHELL",0.9,2040,3391
1990,Rhode Island,"CLAM, SOFTSHELL",7.7,16955,80256
1990,Washington,"CLAM, SOFTSHELL",0.4,971,1102
1991,Maine,"CLAM, SOFTSHELL",670.4,1477996,4784092
1991,Maryland,"CLAM, SOFTSHELL",773.6,1705567,5377593
1991,Massachusetts,"CLAM, SOFTSHELL",521.1,1148745,5575514
1991,New York,"CLAM, SOFTSHELL",81.1,178848,573632
1991,Oregon,"CLAM, SOFTSHELL",1.7,3786,8522
1991,Rhode Island,"CLAM, SOFTSHELL",14.4,31845,139792
1991,Washington,"CLAM, SOFTSHELL",14.1,31076,72337
1992,Maine,"CLAM, SOFTSHELL",1027.7,2265592,7862425
1992,Maryland,"CLAM, SOFTSHELL",161.2,355395,1905858
1992,Massachusetts,"CLAM, SOFTSHELL",643.9,1419644,7398251
1992,New York,"CLAM, SOFTSHELL",63.5,140064,501473
1992,Oregon,"CLAM, SOFTSHELL",1.2,2747,4481
1992,Rhode Island,"CLAM, SOFTSHELL",14.4,31737,157804
1992,Washington,"CLAM, SOFTSHELL",15,33151,87531
1993,Maine,"CLAM, SOFTSHELL",1046,2306008,9158238
1993,Maryland,"CLAM, SOFTSHELL",357.7,788694,3010995
1993,Massachusetts,"CLAM, SOFTSHELL",611.9,1348920,7748123
1993,New York,"CLAM, SOFTSHELL",50.7,111792,466585
1993,Oregon,"CLAM, SOFTSHELL",1.5,3221,4778
1993,Rhode Island,"CLAM, SOFTSHELL",16.2,35616,165940
1993,Washington,"CLAM, SOFTSHELL",16.7,36781,109484
1994,Maine,"CLAM, SOFTSHELL",915.7,2018675,8817991
1994,Maryland,"CLAM, SOFTSHELL",203.5,448667,3008384
1994,New York,"CLAM, SOFTSHELL",37.4,82528,368572
1994,Oregon,"CLAM, SOFTSHELL",1.5,3283,4556
1994,Rhode Island,"CLAM, SOFTSHELL",25.1,55397,324024
1994,Washington,"CLAM, SOFTSHELL",14.2,31255,74762
1995,Maine,"CLAM, SOFTSHELL",846.6,1866519,7940748
1995,Maryland,"CLAM, SOFTSHELL",146.6,323166,1837282
1995,New York,"CLAM, SOFTSHELL",73.3,161632,708895
1995,Oregon,"CLAM, SOFTSHELL",0,46,636
1995,Rhode Island,"CLAM, SOFTSHELL",15.6,34436,178012
1996,Maine,"CLAM, SOFTSHELL",706.2,1556792,5408920
1996,Maryland,"CLAM, SOFTSHELL",144.9,319458,1476533
1996,New York,"CLAM, SOFTSHELL",93,205136,831085
1996,Oregon,"CLAM, SOFTSHELL",0,85,991
1996,Rhode Island,"CLAM, SOFTSHELL",23.6,52016,254727
1997,Maine,"CLAM, SOFTSHELL",797.9,1759155,7325092
1997,Maryland,"CLAM, SOFTSHELL",112.7,248527,1605746
1997,New York,"CLAM, SOFTSHELL",123.1,271307,907369
1997,Oregon,"CLAM, SOFTSHELL",0.1,324,369
1997,Rhode Island,"CLAM, SOFTSHELL",7.8,17298,81006
1998,Maine,"CLAM, SOFTSHELL",1067.9,2354294,10082059
1998,Maryland,"CLAM, SOFTSHELL",99.2,218738,1283726
1998,New York,"CLAM, SOFTSHELL",94.4,208104,711520
1998,Oregon,"CLAM, SOFTSHELL",0.2,351,354
1998,Rhode Island,"CLAM, SOFTSHELL",15.4,33890,157607
1999,Maine,"CLAM, SOFTSHELL",1035.1,2281958,10465211
1999,Maryland,"CLAM, SOFTSHELL",67.3,148460,1013700
1999,New York,"CLAM, SOFTSHELL",104,229291,974906
1999,Rhode Island,"CLAM, SOFTSHELL",13.5,29856,169030
2000,Maine,"CLAM, SOFTSHELL",1036.2,2284330,9545531
2000,Maryland,"CLAM, SOFTSHELL",76.8,169280,1003990
2000,New York,"CLAM, SOFTSHELL",81.9,180504,848361
2000,Oregon,"CLAM, SOFTSHELL",0,103,212
2000,Rhode Island,"CLAM, SOFTSHELL",15.3,33809,199544
2001,Maine,"CLAM, SOFTSHELL",1206.4,2659578,16609083
2001,Maryland,"CLAM, SOFTSHELL",28,61647,344001
2001,New York,"CLAM, SOFTSHELL",48,105904,561429
2001,Rhode Island,"CLAM, SOFTSHELL",21.6,47577,263623
2001,Washington,"CLAM, SOFTSHELL",44.9,98940,203729
2002,Maine,"CLAM, SOFTSHELL",1099.3,2423484,14369771
2002,Maryland,"CLAM, SOFTSHELL",97.7,215448,884644
2002,New York,"CLAM, SOFTSHELL",59.8,131872,679325
2002,Rhode Island,"CLAM, SOFTSHELL",24.8,54680,309872
2002,Washington,"CLAM, SOFTSHELL",129,284440,225988
2003,Maine,"CLAM, SOFTSHELL",1072.4,2364139,15859272
2003,Maryland,"CLAM, SOFTSHELL",15.5,34141,211962
2003,New York,"CLAM, SOFTSHELL",73.9,162880,888470
2003,Rhode Island,"CLAM, SOFTSHELL",48,105849,556814
2003,Washington,"CLAM, SOFTSHELL",224,493800,392326
2004,Maine,"CLAM, SOFTSHELL",1079.5,2379928,16627775
2004,Massachusetts,"CLAM, SOFTSHELL",1.3,2883,26450
2004,New York,"CLAM, SOFTSHELL",106.2,234080,1227322
2004,Rhode Island,"CLAM, SOFTSHELL",74.7,164654,977998
2004,Washington,"CLAM, SOFTSHELL",139.3,307042,252077
2005,Maine,"CLAM, SOFTSHELL",842.4,1857091,14080692
2005,Maryland,"CLAM, SOFTSHELL",50,110137,790890
2005,Massachusetts,"CLAM, SOFTSHELL",347.1,765117,5395708
2005,New York,"CLAM, SOFTSHELL",122.6,270311,1467594
2005,Rhode Island,"CLAM, SOFTSHELL",49.4,108814,716931
2005,Washington,"CLAM, SOFTSHELL",185.2,408357,370788
2006,Maine,"CLAM, SOFTSHELL",1777,3917509,26940214
2006,Massachusetts,"CLAM, SOFTSHELL",631,1391044,6231409
2006,New York,"CLAM, SOFTSHELL",178.3,393168,2054963
2006,Rhode Island,"CLAM, SOFTSHELL",48.1,106077,1262234
2006,Washington,"CLAM, SOFTSHELL",172.7,380819,331348
2007,Maine,"CLAM, SOFTSHELL",883.5,1947663,12574306
2007,Massachusetts,"CLAM, SOFTSHELL",581.7,1282332,8281055
2007,New York,"CLAM, SOFTSHELL",89.7,197686,1627615
2007,Oregon,"CLAM, SOFTSHELL",0.1,141,315
2007,Rhode Island,"CLAM, SOFTSHELL",119.6,263627,1730544
2007,Washington,"CLAM, SOFTSHELL",102.4,225651,179280
2008,Maine,"CLAM, SOFTSHELL",906.3,1998069,12825534
2008,Massachusetts,"CLAM, SOFTSHELL",503.1,1109110,7104304
2008,New York,"CLAM, SOFTSHELL",59.2,130601,1075536
2008,Oregon,"CLAM, SOFTSHELL",0,52,114
2008,Rhode Island,"CLAM, SOFTSHELL",65.5,144491,972675
2008,Virginia,"CLAM, SOFTSHELL",0,18,34
2008,Washington,"CLAM, SOFTSHELL",254.1,560196,489065
2009,Maine,"CLAM, SOFTSHELL",862.6,1901759,11686180
