You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : MENHADEN,,,,,
Year,State,Species,Metric Tons,Pounds,$
1955,Louisiana,MENHADEN,135312,298308800,4593956
1955,Maine,MENHADEN,1821.7,4016100,42206
1955,Maryland,MENHADEN,879.9,1939900,38799
1955,Massachusetts,MENHADEN,27847.6,61392900,823938
1955,Mississippi,MENHADEN,58116.4,128123400,1960288
1955,New Jersey,MENHADEN,166349.7,366734600,4684344
1955,New York,MENHADEN,40649.7,89616300,1464421
1955,North Carolina,MENHADEN,83878.6,184918700,2292993
1955,Rhode Island,MENHADEN,6505.3,14341500,179150
1955,South Carolina,MENHADEN,3010.8,6637700,59739
1955,Texas,MENHADEN,23870.6,52625200,715703
1955,Virginia,MENHADEN,142166.1,313419400,3714988
1956,Connecticut,MENHADEN,10.2,22500,255
1956,Delaware,MENHADEN,160095.6,352946700,4624495
1956,Florida East Coast,MENHADEN,30843.8,67998300,538998
1956,Florida West Coast,MENHADEN,14.6,32100,963
1956,Louisiana,MENHADEN,145387.5,320521300,4839872
1956,Maine,MENHADEN,551.8,1216400,15347
1956,Maryland,MENHADEN,623.8,1375300,27507
1956,Massachusetts,MENHADEN,30122,66407000,856297
1956,Mississippi,MENHADEN,78287.2,172592000,2588880
1956,New Jersey,MENHADEN,220549.9,486224400,6335404
1956,New York,MENHADEN,51890.1,114397000,1687634
1956,North Carolina,MENHADEN,111878.8,246647900,3379080
1956,Rhode Island,MENHADEN,5044.9,11122000,131743
1956,Texas,MENHADEN,30250.6,66690500,973680
1956,Virginia,MENHADEN,85751.2,189047100,2424379
1957,Connecticut,MENHADEN,14.7,32500,470
1957,Delaware,MENHADEN,129852.2,286272200,3665717
1957,Florida East Coast,MENHADEN,7644.1,16852200,191238
1957,Florida West Coast,MENHADEN,3.4,7400,222
1957,Louisiana,MENHADEN,73853.5,162817400,2458543
1957,Maine,MENHADEN,124,273400,3418
1957,Maryland,MENHADEN,1088,2398700,35979
1957,Massachusetts,MENHADEN,9845.1,21704500,292380
1957,Mississippi,MENHADEN,64466.9,142123800,2146069
1957,New Jersey,MENHADEN,189835.9,418512200,5118091
1957,New York,MENHADEN,52966.8,116770500,1659596
1957,North Carolina,MENHADEN,78255.6,172522300,2380826
1957,Rhode Island,MENHADEN,8971.1,19777700,235837
1957,South Carolina,MENHADEN,3187.4,7027000,66054
1957,Texas,MENHADEN,26120.5,57585200,834985
1957,Virginia,MENHADEN,120408.7,265453100,3120259
1958,Connecticut,MENHADEN,10.1,22200,360
1958,Delaware,MENHADEN,122320.1,269667000,3775337
1958,Florida East Coast,MENHADEN,3570.3,7871100,84202
1958,Florida West Coast,MENHADEN,4131.5,9108300,139461
1958,Louisiana,MENHADEN,109685.7,241813000,3627195
1958,Maryland,MENHADEN,1031.4,2273800,22736
1958,Massachusetts,MENHADEN,1776.9,3917300,53547
1958,Mississippi,MENHADEN,55949.2,123345700,1887189
1958,New Jersey,MENHADEN,90969,200550300,2542525
1958,New York,MENHADEN,25083.5,55299000,778244
1958,North Carolina,MENHADEN,106769.7,235384500,3483690
1958,Rhode Island,MENHADEN,4497.1,9914300,119143
1958,South Carolina,MENHADEN,390.7,861400,9734
1958,Texas,MENHADEN,31098.1,68558900,1103852
1958,Virginia,MENHADEN,145383.2,320511700,4304849
1959,Connecticut,MENHADEN,9.7,21400,269
1959,Delaware,MENHADEN,127524.7,281141000,3149053
1959,Florida East Coast,MENHADEN,21154.4,46636900,362091
1959,Florida West Coast,MENHADEN,7978.6,17589700,204391
1959,Louisiana,MENHADEN,200825.5,442740000,5976990
1959,Maryland,MENHADEN,999.4,2203300,33049
1959,Massachusetts,MENHADEN,16594.8,36584900,504668
1959,Mississippi,MENHADEN,78963.1,174082000,2193433
1959,New Jersey,MENHADEN,134309.9,296099600,3459653
1959,New York,MENHADEN,34375.1,75783300,958633
1959,North Carolina,MENHADEN,126956.3,279887800,3246699
1959,Rhode Island,MENHADEN,7368.7,16245000,194924
1959,South Carolina,MENHADEN,1810.4,3991200,28737
1959,Texas,MENHADEN,53263.3,117424200,1526512
1959,Virginia,MENHADEN,187019,412302100,4373357
1960,Connecticut,MENHADEN,5.9,13000,181
1960,Delaware,MENHADEN,127329.7,280711000,2750966
1960,Florida East Coast,MENHADEN,11154.9,24592000,203741
1960,Florida West Coast,MENHADEN,2984.8,6580400,60068
1960,Louisiana,MENHADEN,213239.5,470107700,5138645
1960,Maine,MENHADEN,15.9,35000,625
1960,Maryland,MENHADEN,1317.2,2903900,49366
1960,Massachusetts,MENHADEN,8179.4,18032200,173709
1960,Mississippi,MENHADEN,99176.2,218643800,2197656
1960,New Jersey,MENHADEN,138767.4,305926700,2956964
1960,New York,MENHADEN,38175.2,84161000,847682
1960,North Carolina,MENHADEN,86379.1,190431300,1980480
1960,Rhode Island,MENHADEN,11135.4,24549000,220965
1960,Texas,MENHADEN,66032.3,145574900,1496793
1960,Virginia,MENHADEN,111585.5,246001300,2221029
1961,Connecticut,MENHADEN,5.6,12300,139
1961,Delaware,MENHADEN,137336.9,302773000,3356200
1961,Florida East Coast,MENHADEN,14946.1,32950100,272969
1961,Florida West Coast,MENHADEN,1531,3375200,32160
1961,Louisiana,MENHADEN,263849.4,581682400,6747527
1961,Maryland,MENHADEN,1622.8,3577700,59227
1961,Massachusetts,MENHADEN,1525.4,3362800,29858
1961,Mississippi,MENHADEN,136655.5,301270800,3404351
1961,New Jersey,MENHADEN,148874.2,328208000,3625459
1961,New York,MENHADEN,38133,84068000,949403
1961,North Carolina,MENHADEN,100496.9,221555400,2414953
1961,Rhode Island,MENHADEN,10267.4,22635600,192440
1961,Texas,MENHADEN,60829.7,134105200,1408105
1961,Virginia,MENHADEN,133857,295101100,3087153
1962,Connecticut,MENHADEN,2.1,4600,57
1962,Delaware,MENHADEN,121883.3,268704000,2782437
1962,Florida East Coast,MENHADEN,15545,34270600,321277
1962,Florida West Coast,MENHADEN,8.9,19700,650
1962,Louisiana,MENHADEN,312599.7,689157400,7994226
1962,Maryland,MENHADEN,1957.8,4316100,76525
1962,Massachusetts,MENHADEN,7272,16031900,158813
1962,Mississippi,MENHADEN,119556.4,263574000,2916984
1962,New Jersey,MENHADEN,170337.7,375526600,3901547
1962,New York,MENHADEN,62712.6,138256200,1263217
1962,North Carolina,MENHADEN,55746.2,122898100,1364169
1962,Rhode Island,MENHADEN,3499.9,7715900,63710
1962,Texas,MENHADEN,47116.9,103874000,1137394
1962,Virginia,MENHADEN,146781.4,323594200,3884105
1963,Connecticut,MENHADEN,2.3,5100,110
1963,Delaware,MENHADEN,46640.5,102823600,1059083
1963,Florida East Coast,MENHADEN,11644.9,25672400,262995
1963,Florida West Coast,MENHADEN,20.2,44500,1780
1963,Louisiana,MENHADEN,287346.6,633484300,7861871
1963,Maryland,MENHADEN,1493.6,3292900,53511
1963,Massachusetts,MENHADEN,156.3,344600,3503
1963,Mississippi,MENHADEN,113593.9,250429200,3276215
1963,New Jersey,MENHADEN,80911.3,178377100,2196978
1963,New York,MENHADEN,41572.4,91650500,1013679
1963,North Carolina,MENHADEN,86280.4,190213800,2326005
1963,Rhode Island,MENHADEN,1.3,2800,28
1963,Texas,MENHADEN,37982.4,83735900,1034170
1963,Virginia,MENHADEN,115994.7,255721900,3295035
1964,Connecticut,MENHADEN,1.8,3900,73
1964,Delaware,MENHADEN,14766.4,32554000,378494
1964,Florida East Coast,MENHADEN,7781.2,17154500,187411
1964,Florida West Coast,MENHADEN,38.1,84000,2430
1964,Louisiana,MENHADEN,271948.4,599537500,9045557
1964,Maryland,MENHADEN,2588.4,5706300,91139
1964,Massachusetts,MENHADEN,1,2100,35
1964,Mississippi,MENHADEN,107880.2,237832600,3131440
1964,New Jersey,MENHADEN,29156.6,64278700,969552
1964,New York,MENHADEN,19243.7,42424700,516226
1964,North Carolina,MENHADEN,78468.5,172991700,2248892
1964,Texas,MENHADEN,30248.8,66686400,822024
1964,Virginia,MENHADEN,150008.4,330708500,4798343
1965,Connecticut,MENHADEN,1.6,3600,68
1965,Delaware,MENHADEN,21091.1,46497400,579213
1965,Florida East Coast,MENHADEN,14365.3,31669700,429527
1965,Florida West Coast,MENHADEN,195.9,431900,17294
1965,Louisiana,MENHADEN,309550.6,682435200,11790362
1965,Maryland,MENHADEN,3779.7,8332800,153037
1965,Massachusetts,MENHADEN,4.1,9100,96
1965,Mississippi,MENHADEN,126147.2,278104200,3972568
1965,New Jersey,MENHADEN,33735.4,74373100,1270876
1965,New York,MENHADEN,13671.2,30139600,417407
1965,North Carolina,MENHADEN,72845.6,160595300,2072174
1965,Rhode Island,MENHADEN,3.4,7400,98
1965,South Carolina,MENHADEN,4.5,10000,200
1965,Texas,MENHADEN,28062.1,61865800,1121624
1965,Virginia,MENHADEN,159490.7,351613300,5248867
1966,Connecticut,MENHADEN,0.9,2000,54
1966,Delaware,MENHADEN,1919.1,4230800,52712
1966,Florida East Coast,MENHADEN,14782.6,32589700,449576
1966,Florida West Coast,MENHADEN,3312.1,7301800,127755
1966,Louisiana,MENHADEN,252132.9,555852100,9557646
1966,Maryland,MENHADEN,2496.8,5504500,126027
1966,Massachusetts,MENHADEN,1.3,2800,34
1966,Mississippi,MENHADEN,86480,190653800,3465423
1966,New Jersey,MENHADEN,5858.1,12914700,263901
1966,New York,MENHADEN,2209.1,4870100,81742
1966,North Carolina,MENHADEN,82685.7,182288900,2537808
1966,Rhode Island,MENHADEN,4.1,9000,338
1966,South Carolina,MENHADEN,106.6,235000,4700
1966,Texas,MENHADEN,17628.2,38863200,773378
1966,Virginia,MENHADEN,123555.5,272390500,4324685
1967,Connecticut,MENHADEN,1,2100,71
1967,Florida East Coast,MENHADEN,19639.3,43296700,427239
1967,Florida West Coast,MENHADEN,57.7,127200,4426
1967,Louisiana,MENHADEN,231522.3,510414000,6134338
1967,Maryland,MENHADEN,1361,3000500,59788
1967,Massachusetts,MENHADEN,9.5,21000,525
1967,Mississippi,MENHADEN,75536.3,166527400,2144868
1967,New Jersey,MENHADEN,20818.2,45895700,643631
1967,New York,MENHADEN,291.2,642000,26633
1967,North Carolina,MENHADEN,68257.6,150480700,1693735
1967,Rhode Island,MENHADEN,5.8,12800,269
1967,Texas,MENHADEN,10441.8,23019900,262427
1967,Virginia,MENHADEN,99912.4,220266900,2993441
1968,Connecticut,MENHADEN,0.1,300,20
1968,Florida East Coast,MENHADEN,10859.1,23940000,236469
1968,Florida West Coast,MENHADEN,207.2,456800,13127
1968,Louisiana,MENHADEN,282269.5,622291300,7739602
1968,Maryland,MENHADEN,1977.8,4360300,92076
1968,Massachusetts,MENHADEN,3.4,7600,112
1968,Mississippi,MENHADEN,67828.8,149535400,2037780
1968,New Jersey,MENHADEN,31061.2,68477500,963539
1968,New York,MENHADEN,8067.1,17784800,193784
1968,North Carolina,MENHADEN,75836.5,167189100,1957865
1968,Rhode Island,MENHADEN,6.6,14600,224
1968,South Carolina,MENHADEN,114.6,252600,5052
1968,Texas,MENHADEN,23166.7,51073400,674242
1968,Virginia,MENHADEN,122342.9,269717200,3618475
1969,Connecticut,MENHADEN,5.8,12800,410
1969,Florida East Coast,MENHADEN,8797.1,19394100,258713
1969,Florida West Coast,MENHADEN,173.4,382300,13042
1969,Louisiana,MENHADEN,388392.7,856250600,12764098
1969,Maryland,MENHADEN,1567.8,3456400,98279
1969,Massachusetts,MENHADEN,5.2,11500,186
1969,Mississippi,MENHADEN,102230.5,225377300,3305760
1969,New Jersey,MENHADEN,15419.3,33993300,613715
1969,New York,MENHADEN,4428.2,9762400,229940
1969,North Carolina,MENHADEN,65878.2,145235000,2227738
1969,Rhode Island,MENHADEN,9.7,21400,644
1969,South Carolina,MENHADEN,111.1,245000,3675
1969,Texas,MENHADEN,33200,73192800,1232878
1969,Virginia,MENHADEN,80828.9,178195300,2724020
1970,Connecticut,MENHADEN,58.2,128300,3284
1970,Florida East Coast,MENHADEN,12704.3,28007900,370447
1970,Florida West Coast,MENHADEN,279.8,616900,22220
1970,Louisiana,MENHADEN,435366.9,959809800,18930641
1970,Maryland,MENHADEN,1740.4,3836900,113920
1970,Massachusetts,MENHADEN,444.7,980400,13216
1970,Mississippi,MENHADEN,93431.9,205980000,3887760
1970,New Jersey,MENHADEN,13938,30727800,592261
1970,New York,MENHADEN,336.5,741800,33562
1970,North Carolina,MENHADEN,49095.2,108235200,1570489
1970,Rhode Island,MENHADEN,4262.9,9397900,120108
1970,South Carolina,MENHADEN,4.5,10000,100
1970,Texas,MENHADEN,19531.7,43059600,902722
1970,Virginia,MENHADEN,202286.1,445959900,7523581
1971,Connecticut,MENHADEN,160.3,353400,17660
1971,Florida East Coast,MENHADEN,8976.3,19789100,300091
1971,Florida West Coast,MENHADEN,365.9,806600,30028
1971,Louisiana,MENHADEN,561141.7,1237092900,20014923
1971,Maryland,MENHADEN,2702.3,5957600,119294
1971,Massachusetts,MENHADEN,2862.9,6311600,116524
1971,Mississippi,MENHADEN,139867,308350800,4822854
1971,New Jersey,MENHADEN,27471.3,60563200,1045100
1971,New York,MENHADEN,453.3,999300,36871
1971,North Carolina,MENHADEN,36055.6,79488200,1116093
1971,Rhode Island,MENHADEN,8721.8,19228100,209409
1971,South Carolina,MENHADEN,5.4,12000,240
1971,Texas,MENHADEN,28545,62930400,1050008
1971,Virginia,MENHADEN,178783,394144900,6430802
1972,Connecticut,MENHADEN,167.4,369100,18452
1972,Delaware,MENHADEN,13.3,29300,961
1972,Florida East Coast,MENHADEN,9642.1,21257000,282592
1972,Florida West Coast,MENHADEN,292.2,644100,20178
1972,Louisiana,MENHADEN,421052.5,928252300,15279288
1972,Maryland,MENHADEN,3222.5,7104300,142468
1972,Massachusetts,MENHADEN,5406.7,11919700,184070
1972,Mississippi,MENHADEN,80864.1,178273000,2915038
1972,New Jersey,MENHADEN,62812.2,138475800,2262142
1972,New York,MENHADEN,805.2,1775200,53252
1972,North Carolina,MENHADEN,38416.1,84692100,1219329
1972,Rhode Island,MENHADEN,8347.5,18402900,213916
1972,South Carolina,MENHADEN,1,2100,105
1972,Virginia,MENHADEN,249204.7,549396700,9179565
1973,Connecticut,MENHADEN,261.1,575600,28722
1973,Delaware,MENHADEN,14.8,32600,1108
1973,Florida East Coast,MENHADEN,8291.9,18280300,592173
1973,Florida West Coast,MENHADEN,445.9,983000,35683
1973,Louisiana,MENHADEN,405937.8,894930500,37220673
1973,Maine,MENHADEN,3145.9,6935500,143693
1973,Maryland,MENHADEN,4380.5,9657300,215795
1973,Massachusetts,MENHADEN,19583.2,43173200,860547
1973,Mississippi,MENHADEN,80674.9,177855800,8788741
1973,New Jersey,MENHADEN,70073.1,154483200,3939308
1973,New York,MENHADEN,786.6,1734100,52124
1973,North Carolina,MENHADEN,30365.1,66943000,2539604
1973,Rhode Island,MENHADEN,7240.3,15962000,303984
1973,Virginia,MENHADEN,224967.2,495962600,20395798
1974,Connecticut,MENHADEN,242.7,535000,26873
1974,Delaware,MENHADEN,5.7,12600,452
1974,Florida East Coast,MENHADEN,5732.1,12636900,400759
1974,Florida West Coast,MENHADEN,318.6,702300,59291
1974,Louisiana,MENHADEN,489569,1079303800,39539154
1974,Maine,MENHADEN,4603.4,10148600,155089
1974,Maryland,MENHADEN,2505.3,5523100,140607
1974,Massachusetts,MENHADEN,21333.8,47032600,716741
1974,Mississippi,MENHADEN,97829.1,215674000,8742634
1974,New Jersey,MENHADEN,48674.3,107307400,2734829
1974,New York,MENHADEN,261.4,576300,17480
1974,North Carolina,MENHADEN,54974.9,121197700,2886563
1974,Rhode Island,MENHADEN,9401,20725500,299245
1974,South Carolina,MENHADEN,0.7,1600,159
1974,Virginia,MENHADEN,172027.4,379251700,11230030
1975,Connecticut,MENHADEN,233.7,515300,25198
1975,Delaware,MENHADEN,9.3,20500,821
1975,Florida East Coast,MENHADEN,5783.6,12750500,298203
1975,Florida West Coast,MENHADEN,211.5,466200,17404
1975,Louisiana,MENHADEN,446387.3,984105500,29379319
1975,Maine,MENHADEN,6331.4,13958300,195416
1975,Maryland,MENHADEN,2769.6,6105900,163300
1975,Massachusetts,MENHADEN,9441.8,20815400,274599
1975,Mississippi,MENHADEN,96194.8,212071100,6067200
1975,New Jersey,MENHADEN,29907.4,65933800,1719176
1975,New York,MENHADEN,488.3,1076400,42135
1975,North Carolina,MENHADEN,69765.6,153805200,3258977
1975,Rhode Island,MENHADEN,7066,15577600,194557
1975,South Carolina,MENHADEN,154,339600,13506
1975,Virginia,MENHADEN,143238.4,315783300,7717046
1976,Connecticut,MENHADEN,69.5,153200,7655
1976,Delaware,MENHADEN,16,35300,1404
1976,Florida East Coast,MENHADEN,4595.5,10131300,197980
1976,Florida West Coast,MENHADEN,327.5,722100,27917
1976,Louisiana,MENHADEN,479486.8,1057076600,37100578
1976,Maine,MENHADEN,7961.8,17552600,299775
1976,Maryland,MENHADEN,2440.2,5379700,182326
1976,Massachusetts,MENHADEN,12970.2,28594200,465070
1976,Mississippi,MENHADEN,81716.5,180152300,6839342
1976,New Jersey,MENHADEN,68238,150437500,4303232
1976,New York,MENHADEN,459.7,1013500,43013
1976,North Carolina,MENHADEN,61191.3,134902400,4534354
1976,Rhode Island,MENHADEN,5766.5,12712900,194314
1976,Virginia,MENHADEN,199927.7,440760700,12998775
1977,Connecticut,MENHADEN,48.4,106600,5330
1977,Delaware,MENHADEN,11.2,24600,984
1977,Florida East Coast,MENHADEN,243.6,537000,27733
1977,Florida West Coast,MENHADEN,297.6,656000,28136
1977,Louisiana,MENHADEN,343261,756753100,28892165
1977,Maine,MENHADEN,1492.3,3290000,71062
1977,Maryland,MENHADEN,3801.6,8381100,289816
1977,Massachusetts,MENHADEN,7897.2,17410200,400902
1977,Mississippi,MENHADEN,103856.3,228961700,10297520
1977,New Jersey,MENHADEN,44229.7,97508900,3444730
1977,New York,MENHADEN,386.1,851300,42106
1977,North Carolina,MENHADEN,71722.4,158119300,4369012
1977,Rhode Island,MENHADEN,4568,10070700,206623
1977,South Carolina,MENHADEN,0,100,7
1977,Virginia,MENHADEN,227376.2,501273600,19858697
1978,Connecticut,MENHADEN,38.6,85100,5021
1978,Delaware,MENHADEN,13.5,29700,1485
1978,Florida East Coast,MENHADEN,5912.4,13034474,557894
1978,Florida West Coast,MENHADEN,403.6,889821,35726
1978,Louisiana,MENHADEN,684361.9,1508744190,64504956
1978,Maine,MENHADEN,3157,6959900,173996
1978,Maryland,MENHADEN,3227.8,7115900,291665
1978,Massachusetts,MENHADEN,44.9,99000,2476
1978,Mississippi,MENHADEN,135622,298992200,13502251
1978,New Jersey,MENHADEN,37389.2,82428200,2599317
1978,New York,MENHADEN,108.7,239600,12556
1978,North Carolina,MENHADEN,87237.7,192324170,7498037
1978,Rhode Island,MENHADEN,5979.1,13181600,281075
1978,South Carolina,MENHADEN,0.2,460,37
1978,Virginia,MENHADEN,190879.7,420813400,7608624
1979,Connecticut,MENHADEN,45.5,100200,6996
1979,Delaware,MENHADEN,21.6,47700,2862
1979,Florida East Coast,MENHADEN,2283.9,5035025,232193
1979,Florida West Coast,MENHADEN,1726.8,3806987,164244
1979,Louisiana,MENHADEN,633542,1396706790,60329949
1979,Maine,MENHADEN,13610.3,30005300,759979
1979,Maryland,MENHADEN,2543.8,5608100,265556
1979,Massachusetts,MENHADEN,13172.8,29040700,732091
1979,Mississippi,MENHADEN,144356.7,318248800,12990085
1979,New Jersey,MENHADEN,46847.7,103280500,3288883
1979,New York,MENHADEN,323.2,712500,38996
1979,North Carolina,MENHADEN,115363.3,254329990,8059572
1979,Rhode Island,MENHADEN,3351.4,7388600,152298
1979,South Carolina,MENHADEN,0.5,1090,87
1979,Virginia,MENHADEN,206549.9,455360000,22632765
1980,Connecticut,MENHADEN,45.1,99500,4987
1980,Florida East Coast,MENHADEN,9664,21305171,957143
1980,Florida West Coast,MENHADEN,998.7,2201790,105841
1980,Louisiana,MENHADEN,582154.8,1283418500,57766178
1980,Maine,MENHADEN,8530.3,18805900,450475
1980,Maryland,MENHADEN,3953.7,8716300,471715
1980,Massachusetts,MENHADEN,19663.9,43351000,952888
1980,Mississippi,MENHADEN,118917.5,262165500,11343146
1980,New Jersey,MENHADEN,54439.8,120018000,5895000
1980,New York,MENHADEN,399.9,881700,47205
1980,North Carolina,MENHADEN,89322.5,196920370,7139327
1980,Rhode Island,MENHADEN,20.8,45800,3206
1980,Virginia,MENHADEN,243682.3,537222100,26961126
1981,Connecticut,MENHADEN,68.7,151400,9081
1981,Florida East Coast,MENHADEN,7007,15447665,630023
1981,Florida West Coast,MENHADEN,1074.5,2368801,115204
1981,Louisiana,MENHADEN,464760.8,1024611570,39175167
1981,Maine,MENHADEN,5563,12264100,292475
1981,Maryland,MENHADEN,4854,10701100,632017
1981,Massachusetts,MENHADEN,16056.1,35397300,808517
1981,Mississippi,MENHADEN,87795.1,193553000,8530587
1981,New Jersey,MENHADEN,46847.7,103280400,4057200
1981,New York,MENHADEN,241.9,533200,30103
1981,North Carolina,MENHADEN,140349.6,309414710,10038759
1981,Rhode Island,MENHADEN,10.4,23000,356
1981,South Carolina,MENHADEN,3.8,8487,1110
1981,Virginia,MENHADEN,181760,400708000,17152000
1982,Connecticut,MENHADEN,77.6,171100,8555
1982,Delaware,MENHADEN,26.4,58300,4370
1982,Florida East Coast,MENHADEN,4698.4,10358109,407839
1982,Florida West Coast,MENHADEN,1576.7,3475932,256579
1982,Georgia,MENHADEN,0.1,137,8
1982,Louisiana,MENHADEN,716751.7,1580150780,61774391
1982,Maine,MENHADEN,21724.8,47894600,968487
1982,Maryland,MENHADEN,4058.1,8946400,531886
1982,Massachusetts,MENHADEN,10468.8,23079600,504500
1982,Mississippi,MENHADEN,142925.2,315092800,10953919
1982,New Jersey,MENHADEN,742.7,1637400,125075
1982,New York,MENHADEN,178.9,394300,24462
1982,North Carolina,MENHADEN,84829.5,187015090,5773042
1982,Rhode Island,MENHADEN,3178.8,7008000,109562
1982,Virginia,MENHADEN,271537.2,598631000,26724000
1983,Connecticut,MENHADEN,58.7,129500,6475
1983,Delaware,MENHADEN,18.6,41000,2460
1983,Florida East Coast,MENHADEN,3742.7,8251086,357536
1983,Florida West Coast,MENHADEN,1739.2,3834350,252469
1983,Louisiana,MENHADEN,795521.8,1753807462,69667698
1983,Maine,MENHADEN,19254.3,42448100,845981
1983,Maryland,MENHADEN,2996.4,6605800,259129
1983,Mississippi,MENHADEN,165601.2,365084340,16106638
1983,New Jersey,MENHADEN,717.4,1581600,100572
1983,New York,MENHADEN,98.1,216300,15694
1983,North Carolina,MENHADEN,80728.2,177973440,6167878
1983,Rhode Island,MENHADEN,54.8,120800,5624
1983,South Carolina,MENHADEN,15.4,34000,5450
1983,Virginia,MENHADEN,292440,644713200,28392913
1984,Alabama,MENHADEN,0.7,1500,225
1984,Connecticut,MENHADEN,84.8,186900,9345
1984,Delaware,MENHADEN,94.3,208000,14560
1984,Florida East Coast,MENHADEN,3845.9,8478658,233130
