You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : OYSTER, EASTERN,,,,
1952,Alabama,"OYSTER, EASTERN",835.50,1842000.00,572844.00
1952,California,"OYSTER, EASTERN",10.20,22500.00,30576.00
1952,Connecticut,"OYSTER, EASTERN",580.10,1278900.00,530427.00
1952,Delaware,"OYSTER, EASTERN",1021.60,2252300.00,1150925.00
1952,Florida East Coast,"OYSTER, EASTERN",9.40,20800.00,4160.00
1952,Florida West Coast,"OYSTER, EASTERN",245.80,541900.00,108380.00
1952,Georgia,"OYSTER, EASTERN",100.30,221200.00,55300.00
1952,Louisiana,"OYSTER, EASTERN",5171.70,11401600.00,3075141.00
1952,Maryland,"OYSTER, EASTERN",7388.00,16287600.00,7165000.00
1952,Massachusetts,"OYSTER, EASTERN",134.60,296800.00,150214.00
1952,Mississippi,"OYSTER, EASTERN",10.50,23100.00,8638.00
1952,New Jersey,"OYSTER, EASTERN",3626.00,7993800.00,3397369.00
1952,New York,"OYSTER, EASTERN",2957.90,6520900.00,4567110.00
1952,North Carolina,"OYSTER, EASTERN",735.20,1620900.00,600238.00
1952,Rhode Island,"OYSTER, EASTERN",287.40,633600.00,373264.00
1952,South Carolina,"OYSTER, EASTERN",1020.00,2248700.00,583982.00
1952,Texas,"OYSTER, EASTERN",375.60,828000.00,251746.00
1952,Virginia,"OYSTER, EASTERN",8223.70,18130000.00,7711975.00
1953,Alabama,"OYSTER, EASTERN",657.60,1449700.00,484413.00
1953,California,"OYSTER, EASTERN",8.30,18200.00,28360.00
1953,Connecticut,"OYSTER, EASTERN",250.90,553100.00,319932.00
1953,Delaware,"OYSTER, EASTERN",1424.90,3141300.00,1564642.00
1953,Florida East Coast,"OYSTER, EASTERN",11.50,25300.00,5060.00
1953,Florida West Coast,"OYSTER, EASTERN",255.70,563800.00,62248.00
1953,Georgia,"OYSTER, EASTERN",101.10,222800.00,58400.00
1953,Louisiana,"OYSTER, EASTERN",4279.80,9435300.00,2672664.00
1953,Maryland,"OYSTER, EASTERN",7908.00,17433900.00,7074450.00
1953,Massachusetts,"OYSTER, EASTERN",105.50,232600.00,123188.00
1953,Mississippi,"OYSTER, EASTERN",144.10,317700.00,77107.00
1953,New Jersey,"OYSTER, EASTERN",3848.50,8484500.00,4118084.00
1953,New York,"OYSTER, EASTERN",1286.30,2835800.00,1661843.00
1953,North Carolina,"OYSTER, EASTERN",691.90,1525300.00,536015.00
1953,Rhode Island,"OYSTER, EASTERN",114.30,252000.00,172270.00
1953,South Carolina,"OYSTER, EASTERN",1019.60,2247700.00,425364.00
1953,Texas,"OYSTER, EASTERN",484.70,1068500.00,265604.00
1953,Virginia,"OYSTER, EASTERN",8850.10,19511000.00,7652215.00
1954,Alabama,"OYSTER, EASTERN",335.30,739300.00,172510.00
1954,California,"OYSTER, EASTERN",7.90,17500.00,29096.00
1954,Connecticut,"OYSTER, EASTERN",200.90,442900.00,276865.00
1954,Delaware,"OYSTER, EASTERN",1968.60,4340000.00,2725520.00
1954,Florida East Coast,"OYSTER, EASTERN",10.30,22700.00,4767.00
1954,Florida West Coast,"OYSTER, EASTERN",302.80,667500.00,140169.00
1954,Georgia,"OYSTER, EASTERN",98.50,217200.00,65160.00
1954,Louisiana,"OYSTER, EASTERN",3792.60,8361100.00,2350270.00
1954,Maine,"OYSTER, EASTERN",2.60,5700.00,4075.00
1954,Maryland,"OYSTER, EASTERN",9236.70,20363200.00,9019500.00
1954,Massachusetts,"OYSTER, EASTERN",79.10,174400.00,108656.00
1954,Mississippi,"OYSTER, EASTERN",442.90,976500.00,199455.00
1954,New Jersey,"OYSTER, EASTERN",3324.40,7328900.00,3633774.00
1954,New York,"OYSTER, EASTERN",774.30,1707000.00,1138029.00
1954,North Carolina,"OYSTER, EASTERN",457.40,1008400.00,395870.00
1954,Rhode Island,"OYSTER, EASTERN",50.80,112000.00,91576.00
1954,South Carolina,"OYSTER, EASTERN",1161.90,2561600.00,559829.00
1954,Texas,"OYSTER, EASTERN",317.10,699100.00,193418.00
1954,Virginia,"OYSTER, EASTERN",9627.40,21224600.00,9840750.00
1955,Alabama,"OYSTER, EASTERN",717.00,1580600.00,338301.00
1955,California,"OYSTER, EASTERN",8.90,19700.00,36188.00
1955,Connecticut,"OYSTER, EASTERN",185.20,408400.00,329929.00
1955,Delaware,"OYSTER, EASTERN",1492.50,3290400.00,1603700.00
1955,Florida East Coast,"OYSTER, EASTERN",8.80,19400.00,4268.00
1955,Florida West Coast,"OYSTER, EASTERN",286.60,631900.00,139050.00
1955,Georgia,"OYSTER, EASTERN",78.60,173300.00,51990.00
1955,Louisiana,"OYSTER, EASTERN",4262.00,9395900.00,2753177.00
1955,Maine,"OYSTER, EASTERN",1.40,3000.00,2175.00
1955,Maryland,"OYSTER, EASTERN",7834.50,17271900.00,7786400.00
1955,Massachusetts,"OYSTER, EASTERN",76.00,167500.00,125955.00
1955,Mississippi,"OYSTER, EASTERN",785.30,1731200.00,349851.00
1955,New Jersey,"OYSTER, EASTERN",2360.70,5204500.00,2602275.00
1955,New York,"OYSTER, EASTERN",614.00,1353700.00,1075632.00
1955,North Carolina,"OYSTER, EASTERN",331.60,731000.00,286395.00
1955,Rhode Island,"OYSTER, EASTERN",18.00,39600.00,32035.00
1955,South Carolina,"OYSTER, EASTERN",606.60,1337400.00,334330.00
1955,Texas,"OYSTER, EASTERN",246.30,542900.00,160398.00
1955,Virginia,"OYSTER, EASTERN",9959.00,21955600.00,10015845.00
1956,Alabama,"OYSTER, EASTERN",349.20,769900.00,174487.00
1956,California,"OYSTER, EASTERN",9.00,19900.00,37905.00
1956,Connecticut,"OYSTER, EASTERN",111.70,246300.00,210843.00
1956,Delaware,"OYSTER, EASTERN",858.90,1893600.00,782850.00
1956,Florida East Coast,"OYSTER, EASTERN",14.70,32300.00,7752.00
1956,Florida West Coast,"OYSTER, EASTERN",388.40,856300.00,205512.00
1956,Georgia,"OYSTER, EASTERN",54.50,120200.00,35716.00
1956,Louisiana,"OYSTER, EASTERN",4561.40,10056100.00,2238034.00
1956,Maryland,"OYSTER, EASTERN",7186.70,15843900.00,8791685.00
1956,Massachusetts,"OYSTER, EASTERN",103.40,228000.00,201743.00
1956,Mississippi,"OYSTER, EASTERN",383.90,846300.00,173654.00
1956,New Jersey,"OYSTER, EASTERN",2495.60,5501800.00,3023620.00
1956,New York,"OYSTER, EASTERN",485.10,1069400.00,1000900.00
1956,North Carolina,"OYSTER, EASTERN",597.80,1318000.00,563777.00
1956,Rhode Island,"OYSTER, EASTERN",14.10,31000.00,24533.00
1956,South Carolina,"OYSTER, EASTERN",991.50,2185900.00,441943.00
1956,Texas,"OYSTER, EASTERN",447.00,985500.00,285475.00
1956,Virginia,"OYSTER, EASTERN",9625.40,21220200.00,9900857.00
1957,Alabama,"OYSTER, EASTERN",585.70,1291200.00,288683.00
1957,California,"OYSTER, EASTERN",7.70,16900.00,32068.00
1957,Connecticut,"OYSTER, EASTERN",110.20,242900.00,216090.00
1957,Delaware,"OYSTER, EASTERN",1902.50,4194200.00,2226720.00
1957,Florida East Coast,"OYSTER, EASTERN",11.20,24800.00,6795.00
1957,Florida West Coast,"OYSTER, EASTERN",322.10,710200.00,198856.00
1957,Georgia,"OYSTER, EASTERN",50.90,112300.00,27401.00
1957,Louisiana,"OYSTER, EASTERN",4757.90,10489300.00,2756098.00
1957,Maine,"OYSTER, EASTERN",2.50,5600.00,3850.00
1957,Maryland,"OYSTER, EASTERN",6682.60,14732400.00,7601768.00
1957,Massachusetts,"OYSTER, EASTERN",68.70,151500.00,153337.00
1957,Mississippi,"OYSTER, EASTERN",391.10,862300.00,185402.00
1957,New Jersey,"OYSTER, EASTERN",1233.80,2720000.00,1781528.00
1957,New York,"OYSTER, EASTERN",484.20,1067400.00,1018206.00
1957,North Carolina,"OYSTER, EASTERN",492.80,1086500.00,479757.00
1957,Rhode Island,"OYSTER, EASTERN",1.20,2700.00,3510.00
1957,South Carolina,"OYSTER, EASTERN",836.70,1844500.00,369681.00
1957,Texas,"OYSTER, EASTERN",432.30,953000.00,262362.00
1957,Virginia,"OYSTER, EASTERN",9112.50,20089500.00,9846869.00
1958,Alabama,"OYSTER, EASTERN",207.60,457600.00,111607.00
1958,California,"OYSTER, EASTERN",2.00,4500.00,9292.00
1958,Connecticut,"OYSTER, EASTERN",70.70,155800.00,176944.00
1958,Delaware,"OYSTER, EASTERN",1093.20,2410100.00,1717262.00
1958,Florida East Coast,"OYSTER, EASTERN",13.50,29700.00,8197.00
1958,Florida West Coast,"OYSTER, EASTERN",360.50,794800.00,218494.00
1958,Georgia,"OYSTER, EASTERN",64.70,142600.00,35002.00
1958,Louisiana,"OYSTER, EASTERN",3748.90,8264800.00,2425917.00
1958,Maine,"OYSTER, EASTERN",1.50,3300.00,2256.00
1958,Maryland,"OYSTER, EASTERN",5455.30,12026700.00,6667542.00
1958,Massachusetts,"OYSTER, EASTERN",51.00,112500.00,137250.00
1958,Mississippi,"OYSTER, EASTERN",262.50,578800.00,122322.00
1958,New Jersey,"OYSTER, EASTERN",376.00,829000.00,675836.00
1958,New York,"OYSTER, EASTERN",479.40,1056800.00,986293.00
1958,North Carolina,"OYSTER, EASTERN",472.40,1041500.00,434311.00
1958,Rhode Island,"OYSTER, EASTERN",1.30,2800.00,2400.00
1958,South Carolina,"OYSTER, EASTERN",651.90,1437100.00,288197.00
1958,Texas,"OYSTER, EASTERN",141.30,311400.00,118254.00
1958,Virginia,"OYSTER, EASTERN",11568.40,25503700.00,14126422.00
1959,Alabama,"OYSTER, EASTERN",405.90,894800.00,278521.00
1959,California,"OYSTER, EASTERN",0.50,1200.00,2838.00
1959,Connecticut,"OYSTER, EASTERN",117.40,258800.00,284152.00
1959,Delaware,"OYSTER, EASTERN",133.80,295000.00,158785.00
1959,Florida East Coast,"OYSTER, EASTERN",18.10,40000.00,12241.00
1959,Florida West Coast,"OYSTER, EASTERN",641.80,1415000.00,404689.00
1959,Georgia,"OYSTER, EASTERN",112.50,248000.00,60937.00
1959,Louisiana,"OYSTER, EASTERN",4385.10,9667500.00,2645124.00
1959,Maine,"OYSTER, EASTERN",1.60,3600.00,2205.00
1959,Maryland,"OYSTER, EASTERN",5427.80,11966200.00,7234124.00
1959,Massachusetts,"OYSTER, EASTERN",53.50,117900.00,162844.00
1959,Mississippi,"OYSTER, EASTERN",151.40,333800.00,82488.00
1959,New Jersey,"OYSTER, EASTERN",93.40,206000.00,189233.00
1959,New York,"OYSTER, EASTERN",403.70,889900.00,908296.00
1959,North Carolina,"OYSTER, EASTERN",594.70,1311000.00,587607.00
1959,Rhode Island,"OYSTER, EASTERN",2.60,5800.00,4427.00
1959,South Carolina,"OYSTER, EASTERN",870.10,1918300.00,379249.00
1959,Texas,"OYSTER, EASTERN",640.10,1411200.00,395885.00
1959,Virginia,"OYSTER, EASTERN",9686.50,21354900.00,13374298.00
1960,Alabama,"OYSTER, EASTERN",530.40,1169300.00,317045.00
1960,California,"OYSTER, EASTERN",0.10,300.00,691.00
1960,Connecticut,"OYSTER, EASTERN",163.70,360900.00,448395.00
1960,Delaware,"OYSTER, EASTERN",79.90,176200.00,119683.00
1960,Florida East Coast,"OYSTER, EASTERN",20.20,44600.00,13380.00
1960,Florida West Coast,"OYSTER, EASTERN",875.80,1930800.00,482700.00
1960,Georgia,"OYSTER, EASTERN",105.00,231400.00,58831.00
1960,Louisiana,"OYSTER, EASTERN",3769.80,8310800.00,2303997.00
1960,Maine,"OYSTER, EASTERN",1.20,2700.00,998.00
1960,Maryland,"OYSTER, EASTERN",5338.70,11769700.00,8426224.00
1960,Massachusetts,"OYSTER, EASTERN",50.00,110300.00,151552.00
1960,Mississippi,"OYSTER, EASTERN",1084.40,2390700.00,535495.00
1960,New Jersey,"OYSTER, EASTERN",75.70,166800.00,159948.00
1960,New York,"OYSTER, EASTERN",367.60,810400.00,905203.00
1960,North Carolina,"OYSTER, EASTERN",551.70,1216200.00,560442.00
1960,Rhode Island,"OYSTER, EASTERN",11.10,24500.00,22400.00
1960,South Carolina,"OYSTER, EASTERN",1191.80,2627500.00,919625.00
1960,Texas,"OYSTER, EASTERN",1041.60,2296300.00,654532.00
1960,Virginia,"OYSTER, EASTERN",6958.40,15340400.00,10882946.00
1961,Alabama,"OYSTER, EASTERN",230.70,508500.00,162412.00
1961,California,"OYSTER, EASTERN",6.70,14800.00,5110.00
1961,Connecticut,"OYSTER, EASTERN",162.70,358600.00,416883.00
1961,Delaware,"OYSTER, EASTERN",14.90,32900.00,18791.00
1961,Florida East Coast,"OYSTER, EASTERN",32.90,72600.00,21343.00
1961,Florida West Coast,"OYSTER, EASTERN",1476.10,3254100.00,1031549.00
1961,Georgia,"OYSTER, EASTERN",71.90,158500.00,47650.00
1961,Louisiana,"OYSTER, EASTERN",4599.10,10139200.00,2849090.00
1961,Maine,"OYSTER, EASTERN",1.30,2900.00,2290.00
1961,Maryland,"OYSTER, EASTERN",4688.70,10336600.00,7802392.00
1961,Massachusetts,"OYSTER, EASTERN",37.90,83500.00,99041.00
1961,Mississippi,"OYSTER, EASTERN",1470.20,3241100.00,752456.00
1961,New Jersey,"OYSTER, EASTERN",499.00,1100100.00,933444.00
1961,New York,"OYSTER, EASTERN",357.50,788100.00,1068451.00
1961,North Carolina,"OYSTER, EASTERN",548.40,1209100.00,615467.00
1961,Rhode Island,"OYSTER, EASTERN",3.40,7500.00,6067.00
1961,South Carolina,"OYSTER, EASTERN",1154.10,2544300.00,1095210.00
1961,Texas,"OYSTER, EASTERN",497.10,1095800.00,329320.00
1961,Virginia,"OYSTER, EASTERN",7785.30,17163500.00,13932107.00
1962,Alabama,"OYSTER, EASTERN",200.80,442700.00,164527.00
1962,California,"OYSTER, EASTERN",6.00,13300.00,4717.00
1962,Connecticut,"OYSTER, EASTERN",93.40,206000.00,280566.00
1962,Delaware,"OYSTER, EASTERN",36.60,80600.00,60488.00
1962,Florida East Coast,"OYSTER, EASTERN",30.40,67000.00,20100.00
1962,Florida West Coast,"OYSTER, EASTERN",2246.40,4952500.00,1406515.00
1962,Georgia,"OYSTER, EASTERN",66.60,146900.00,51415.00
1962,Louisiana,"OYSTER, EASTERN",4608.40,10159700.00,3316424.00
1962,Maine,"OYSTER, EASTERN",0.40,900.00,799.00
1962,Maryland,"OYSTER, EASTERN",3691.10,8137500.00,6182332.00
1962,Massachusetts,"OYSTER, EASTERN",35.60,78400.00,81177.00
1962,Mississippi,"OYSTER, EASTERN",940.60,2073700.00,537870.00
1962,New Jersey,"OYSTER, EASTERN",704.60,1553400.00,1422234.00
1962,New York,"OYSTER, EASTERN",330.60,728900.00,1079969.00
1962,North Carolina,"OYSTER, EASTERN",436.10,961400.00,485589.00
1962,Rhode Island,"OYSTER, EASTERN",4.00,8800.00,8259.00
1962,South Carolina,"OYSTER, EASTERN",1212.70,2673600.00,1167565.00
1962,Texas,"OYSTER, EASTERN",549.30,1210900.00,473117.00
1962,Virginia,"OYSTER, EASTERN",5352.40,11800000.00,9773869.00
1963,Alabama,"OYSTER, EASTERN",451.50,995400.00,352577.00
1963,California,"OYSTER, EASTERN",6.10,13500.00,4726.00
1963,Connecticut,"OYSTER, EASTERN",179.30,395200.00,462629.00
1963,Delaware,"OYSTER, EASTERN",18.30,40400.00,25086.00
1963,Florida East Coast,"OYSTER, EASTERN",36.60,80700.00,24210.00
1963,Florida West Coast,"OYSTER, EASTERN",1942.30,4282100.00,1224680.00
1963,Georgia,"OYSTER, EASTERN",106.80,235500.00,82425.00
1963,Louisiana,"OYSTER, EASTERN",5245.00,11563200.00,3720113.00
1963,Maine,"OYSTER, EASTERN",0.80,1800.00,1798.00
1963,Maryland,"OYSTER, EASTERN",3518.30,7756400.00,5618082.00
1963,Massachusetts,"OYSTER, EASTERN",20.30,44700.00,57079.00
1963,Mississippi,"OYSTER, EASTERN",2122.60,4679500.00,975115.00
1963,New Jersey,"OYSTER, EASTERN",233.80,515400.00,558737.00
1963,New York,"OYSTER, EASTERN",178.90,394500.00,572688.00
1963,North Carolina,"OYSTER, EASTERN",314.80,694000.00,356705.00
1963,Rhode Island,"OYSTER, EASTERN",5.10,11300.00,11528.00
1963,South Carolina,"OYSTER, EASTERN",1736.00,3827100.00,1556490.00
1963,Texas,"OYSTER, EASTERN",1187.50,2617900.00,913835.00
1963,Virginia,"OYSTER, EASTERN",4770.90,10517900.00,8110189.00
1964,Alabama,"OYSTER, EASTERN",456.00,1005300.00,324125.00
1964,California,"OYSTER, EASTERN",2.20,4900.00,10277.00
1964,Connecticut,"OYSTER, EASTERN",56.20,123800.00,235601.00
1964,Delaware,"OYSTER, EASTERN",20.30,44700.00,26984.00
1964,Florida East Coast,"OYSTER, EASTERN",41.90,92300.00,27702.00
1964,Florida West Coast,"OYSTER, EASTERN",1266.80,2792700.00,781142.00
1964,Georgia,"OYSTER, EASTERN",88.80,195800.00,68536.00
1964,Louisiana,"OYSTER, EASTERN",5171.50,11401100.00,2976152.00
1964,Maine,"OYSTER, EASTERN",0.70,1490.00,1201.00
1964,Maryland,"OYSTER, EASTERN",3605.10,7947700.00,5460637.00
1964,Massachusetts,"OYSTER, EASTERN",25.50,56200.00,76259.00
1964,Mississippi,"OYSTER, EASTERN",2190.20,4828600.00,1098736.00
1964,New Jersey,"OYSTER, EASTERN",497.90,1097700.00,1024410.00
1964,New York,"OYSTER, EASTERN",96.80,213500.00,315037.00
1964,North Carolina,"OYSTER, EASTERN",330.10,727700.00,414775.00
1964,Rhode Island,"OYSTER, EASTERN",5.90,12900.00,13117.00
1964,South Carolina,"OYSTER, EASTERN",1139.00,2511100.00,996969.00
1964,Texas,"OYSTER, EASTERN",1522.80,3357100.00,1092582.00
1964,Virginia,"OYSTER, EASTERN",6418.50,14150200.00,10345064.00
1965,Alabama,"OYSTER, EASTERN",223.40,492400.00,206685.00
1965,California,"OYSTER, EASTERN",3.60,8000.00,20833.00
1965,Connecticut,"OYSTER, EASTERN",122.40,269900.00,518650.00
1965,Delaware,"OYSTER, EASTERN",15.50,34100.00,28000.00
1965,Florida East Coast,"OYSTER, EASTERN",75.30,166000.00,49804.00
1965,Florida West Coast,"OYSTER, EASTERN",1264.90,2788700.00,937588.00
1965,Georgia,"OYSTER, EASTERN",112.40,247700.00,86696.00
1965,Louisiana,"OYSTER, EASTERN",3784.20,8342700.00,2401607.00
1965,Maine,"OYSTER, EASTERN",0.40,938.00,1100.00
1965,Maryland,"OYSTER, EASTERN",3910.10,8620100.00,6405280.00
1965,Massachusetts,"OYSTER, EASTERN",26.70,58800.00,118550.00
1965,Mississippi,"OYSTER, EASTERN",1222.60,2695400.00,626796.00
1965,New Jersey,"OYSTER, EASTERN",237.30,523100.00,713637.00
1965,New York,"OYSTER, EASTERN",90.40,199300.00,322480.00
1965,North Carolina,"OYSTER, EASTERN",391.80,863700.00,473549.00
1965,Rhode Island,"OYSTER, EASTERN",5.20,11500.00,14133.00
1965,South Carolina,"OYSTER, EASTERN",1272.30,2805000.00,902482.00
1965,Texas,"OYSTER, EASTERN",2193.40,4835500.00,1538482.00
1965,Virginia,"OYSTER, EASTERN",5701.00,12568400.00,10291253.00
1966,Alabama,"OYSTER, EASTERN",591.70,1304500.00,606538.00
1966,California,"OYSTER, EASTERN",5.90,12900.00,40584.00
1966,Connecticut,"OYSTER, EASTERN",152.50,336100.00,675371.00
1966,Delaware,"OYSTER, EASTERN",20.50,45100.00,35518.00
1966,Florida East Coast,"OYSTER, EASTERN",61.30,135100.00,46940.00
1966,Florida West Coast,"OYSTER, EASTERN",1885.50,4156800.00,1296094.00
1966,Georgia,"OYSTER, EASTERN",82.50,181900.00,63563.00
1966,Louisiana,"OYSTER, EASTERN",2160.80,4763800.00,2156183.00
1966,Maine,"OYSTER, EASTERN",1.90,4100.00,4972.00
1966,Maryland,"OYSTER, EASTERN",5347.30,11788700.00,8048537.00
1966,Massachusetts,"OYSTER, EASTERN",28.50,62800.00,162639.00
1966,Mississippi,"OYSTER, EASTERN",1012.30,2231700.00,597020.00
1966,New Jersey,"OYSTER, EASTERN",315.00,694400.00,796126.00
1966,New York,"OYSTER, EASTERN",80.10,176600.00,335775.00
1966,North Carolina,"OYSTER, EASTERN",329.40,726100.00,398993.00
1966,Rhode Island,"OYSTER, EASTERN",2.30,5000.00,5936.00
1966,South Carolina,"OYSTER, EASTERN",1186.20,2615100.00,1066734.00
1966,Texas,"OYSTER, EASTERN",2143.30,4725200.00,1837607.00
1966,Virginia,"OYSTER, EASTERN",4283.10,9442600.00,6493982.00
1967,Alabama,"OYSTER, EASTERN",946.80,2087400.00,1007831.00
1967,California,"OYSTER, EASTERN",5.80,12700.00,37681.00
1967,Connecticut,"OYSTER, EASTERN",115.50,254700.00,575329.00
1967,Delaware,"OYSTER, EASTERN",27.80,61300.00,40000.00
1967,Florida East Coast,"OYSTER, EASTERN",82.90,182800.00,73909.00
1967,Florida West Coast,"OYSTER, EASTERN",2076.70,4578400.00,1427278.00
1967,Georgia,"OYSTER, EASTERN",92.10,203100.00,114007.00
1967,Louisiana,"OYSTER, EASTERN",3512.20,7742900.00,3413776.00
1967,Maine,"OYSTER, EASTERN",1.90,4100.00,4432.00
1967,Maryland,"OYSTER, EASTERN",7588.60,16729800.00,11362836.00
1967,Massachusetts,"OYSTER, EASTERN",27.20,60000.00,160377.00
1967,Mississippi,"OYSTER, EASTERN",1717.30,3785900.00,1066168.00
1967,New Jersey,"OYSTER, EASTERN",465.90,1027200.00,916992.00
1967,New York,"OYSTER, EASTERN",45.90,101200.00,207859.00
1967,North Carolina,"OYSTER, EASTERN",235.20,518500.00,316376.00
1967,Rhode Island,"OYSTER, EASTERN",1.80,4000.00,5237.00
1967,South Carolina,"OYSTER, EASTERN",1023.10,2255600.00,846937.00
1967,Texas,"OYSTER, EASTERN",1611.60,3553000.00,1570181.00
1967,Virginia,"OYSTER, EASTERN",4113.20,9068000.00,5959026.00
1968,Alabama,"OYSTER, EASTERN",549.70,1211800.00,608198.00
1968,California,"OYSTER, EASTERN",7.30,16200.00,47928.00
1968,Connecticut,"OYSTER, EASTERN",55.10,121400.00,283149.00
1968,Delaware,"OYSTER, EASTERN",19.60,43200.00,41376.00
1968,Florida East Coast,"OYSTER, EASTERN",114.30,251900.00,100433.00
1968,Florida West Coast,"OYSTER, EASTERN",2411.70,5316800.00,1753201.00
1968,Georgia,"OYSTER, EASTERN",86.50,190600.00,106619.00
1968,Louisiana,"OYSTER, EASTERN",5951.70,13121200.00,5305056.00
1968,Maine,"OYSTER, EASTERN",0.20,400.00,470.00
1968,Maryland,"OYSTER, EASTERN",6746.70,14873800.00,9990452.00
1968,Massachusetts,"OYSTER, EASTERN",32.70,72100.00,170954.00
1968,Mississippi,"OYSTER, EASTERN",1717.40,3786200.00,1163028.00
1968,New Jersey,"OYSTER, EASTERN",598.80,1320200.00,1073139.00
1968,New York,"OYSTER, EASTERN",79.60,175400.00,377267.00
1968,North Carolina,"OYSTER, EASTERN",182.80,402900.00,268416.00
1968,Rhode Island,"OYSTER, EASTERN",0.50,1100.00,1071.00
1968,South Carolina,"OYSTER, EASTERN",961.60,2119900.00,1049814.00
1968,Texas,"OYSTER, EASTERN",1497.80,3302000.00,1444614.00
1968,Virginia,"OYSTER, EASTERN",3540.20,7804700.00,5268749.00
1969,Alabama,"OYSTER, EASTERN",218.00,480700.00,250598.00
1969,California,"OYSTER, EASTERN",7.70,16900.00,50258.00
1969,Connecticut,"OYSTER, EASTERN",39.00,85900.00,195702.00
1969,Delaware,"OYSTER, EASTERN",23.00,50700.00,38014.00
1969,Florida East Coast,"OYSTER, EASTERN",109.50,241300.00,113529.00
1969,Florida West Coast,"OYSTER, EASTERN",2227.80,4911300.00,1850002.00
1969,Georgia,"OYSTER, EASTERN",115.70,255000.00,144196.00
1969,Louisiana,"OYSTER, EASTERN",4163.50,9178900.00,3968341.00
1969,Maryland,"OYSTER, EASTERN",6677.50,14721200.00,9010566.00
1969,Massachusetts,"OYSTER, EASTERN",29.60,65300.00,161275.00
1969,Mississippi,"OYSTER, EASTERN",648.60,1429800.00,551359.00
1969,New Jersey,"OYSTER, EASTERN",480.30,1058800.00,838562.00
1969,New York,"OYSTER, EASTERN",96.60,212900.00,473057.00
1969,North Carolina,"OYSTER, EASTERN",168.00,370300.00,259551.00
1969,South Carolina,"OYSTER, EASTERN",437.60,964700.00,559221.00
1969,Texas,"OYSTER, EASTERN",1707.20,3763700.00,1524805.00
1969,Virginia,"OYSTER, EASTERN",3373.20,7436600.00,4985967.00
1970,Alabama,"OYSTER, EASTERN",126.70,279400.00,157500.00
1970,California,"OYSTER, EASTERN",7.60,16700.00,49230.00
1970,Connecticut,"OYSTER, EASTERN",56.80,125300.00,227740.00
1970,Delaware,"OYSTER, EASTERN",98.00,216000.00,132884.00
1970,Florida East Coast,"OYSTER, EASTERN",96.50,212800.00,119113.00
